epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.293414704695992,0.14782608695652175,2.6263541408207107,0.448628364438596,0.001
2,1.0352683077687803,0.7434782608695653,0.5945958013119905,0.8410196687864221,0.001
3,1.1914975321811179,0.6472826086956521,2.0975479658531104,0.42474120084358297,0.0009619778264893878
4,0.9094681703526041,0.7263586956521739,1.4312018790970678,0.572269668786422,0.0008536998372026805
5,0.6839037672333096,0.7839673913043478,1.1903264566608098,0.6421583852042323,0.0006916503744663625
6,0.46469897718533226,0.8535326086956522,1.1158317455778952,0.6863095238156941,0.0005005000000000001
7,0.2675110252655071,0.9144021739130435,0.9195945474116699,0.7340579711872598,0.00030934962553363774
8,0.1261703932414884,0.9616847826086956,0.7354997676675734,0.7856754660606384,0.00014730016279731955
9,0.07799507178690122,0.9817934782608696,0.6057928769160872,0.8256599379622418,3.902217351061228e-05
10,0.052496304589769116,0.9891304347826086,0.590909877937773,0.834756728877192,1e-06
