epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.6895234481148096,0.050543478260869565,3.4041639742643937,0.10899327125238335,0.0003
2,1.9717144178307575,0.5682065217391304,0.9317803478759268,0.8355848861777264,0.0003
3,0.6913839249507241,0.825,0.7493117758761282,0.7694228778714719,0.0002977287590753251
4,0.3887631491474483,0.8945652173913043,0.8018370064704314,0.7577380952627762,0.0002909840468074933
5,0.26395984771458997,0.9269021739130435,0.7156332571221434,0.7777691512004189,0.0002799707978657736
6,0.20100597965976466,0.9418478260869565,0.7270870866011019,0.7842261905255525,0.0002650236442462872
7,0.13327155453355416,0.9646739130434783,0.7397553093731404,0.8009316770926765,0.0002465967476481376
8,0.0988450878340265,0.9739130434782609,0.9047364123813484,0.7613354037637295,0.00022524999999999995
9,0.08289794491037078,0.9771739130434782,0.607468293412872,0.8286231885785642,0.00020163201142718744
10,0.05962896735771843,0.9845108695652174,0.6805910457735477,0.818439441141875,0.00017646040256120605
11,0.03628104746989582,0.9942934782608696,0.49490420021440673,0.8537784680076267,0.00015049999999999994
12,0.025065927304651427,0.9953804347826087,0.5469591118395328,0.842093685398931,0.00012453959743879387
13,0.014713554246270138,0.9983695652173913,0.47830742539271065,0.8612577640491983,9.936798857281253e-05
14,0.016589218183704044,0.9967391304347826,0.5354387913385164,0.8554347826086957,7.575000000000001e-05
15,0.010256085836369059,0.9983695652173913,0.47153526489501413,0.8649456521739131,5.440325235186235e-05
16,0.0070663450852684355,1.0,0.4939639086632625,0.8642598343932111,3.597635575371279e-05
17,0.0078335909091908,0.9991847826086957,0.4700369788252789,0.8637163561323414,2.1029202134226442e-05
18,0.0072926802479702495,0.9994565217391305,0.47456325535540994,0.8667054865671241,1.0015953192506704e-05
19,0.005237726186928542,1.0,0.46951115494189055,0.8705098343932111,3.2712409246749005e-06
20,0.005877241492271423,0.9994565217391305,0.47649799468724624,0.8664337474366893,1e-06
