epoch,train_loss,val_loss,val_mIoU,lr
1,0.9694881983425306,0.9456149728401847,0.19747902227876088,0.0009990133642141358
2,0.8072380089889402,0.7647200693254885,0.36496052083869773,0.000996057350657239
3,0.7513927078765371,0.7070927749509397,0.38885186923046905,0.0009911436253643444
4,0.7296627076423686,0.6822439743124921,0.4066226948052645,0.0009842915805643156
5,0.710033114189687,0.6586663619331692,0.404592656219999,0.0009755282581475769
6,0.6998534532992736,0.664449428734572,0.4033664309730132,0.0009648882429441258
7,0.6886167623426603,0.6423321871653848,0.43034859125812847,0.0009524135262330099
8,0.6794581465099169,0.6730545098366945,0.42526277527213097,0.0009381533400219318
9,0.6660374756092611,0.5946646118941514,0.45023639251788455,0.0009221639627510075
10,0.6505904246283614,0.625964057834252,0.483941783507665,0.0009045084971874736
11,0.6454346338691919,0.8166237901086393,0.43120881418387097,0.0008852566213878945
12,0.6348997409576955,0.5516026972428613,0.5055351207653681,0.0008644843137107056
13,0.6207468577701113,0.5147280531085056,0.5351903041203817,0.0008422735529643443
14,0.6175555711531121,0.8923745855041172,0.37309758365154266,0.0008187119948743448
15,0.6100209744080253,0.5598742003026216,0.5051959057648977,0.0007938926261462366
16,0.6050868968924751,0.5269174420315287,0.5160299241542816,0.0007679133974894982
17,0.6006012955761474,0.5432630433984424,0.5656847854455312,0.0007408768370508576
18,0.5912439437664073,0.4694022290084673,0.5715696712334951,0.0007128896457825362
19,0.5924815190551074,0.4592947499907535,0.5994140406449636,0.0006840622763423389
20,0.5780646169315213,0.508493735090546,0.5673083265622457,0.0006545084971874735
21,0.5841729762437551,0.46496094244977704,0.5696461002031962,0.0006243449435824271
22,0.578793981153032,0.4742001942966295,0.5653535226980845,0.0005936906572928622
23,0.572362735543562,0.4666174177242362,0.596990962823232,0.000562666616782152
24,0.5681635220737561,0.45493556818236475,0.5803644855817159,0.0005313952597646566
25,0.5593266180999901,0.4550727288360181,0.5686318874359131,0.0004999999999999998
26,0.5610198917920175,0.4873520595871884,0.5896556178728739,0.00046860474023534314
27,0.5577330184371575,0.4320241886636485,0.5977344512939453,0.00043733338321784774
28,0.5566764404268368,0.4348175583974175,0.5895348389943441,0.00040630934270713756
29,0.5516887678076392,0.4436665177345276,0.5843982398509979,0.00037565505641757246
30,0.5492484904825687,0.4373134258000747,0.6086807052294413,0.00034549150281252633
31,0.53904254005655,0.47460409027078876,0.5664833585421244,0.00031593772365766105
32,0.5395223381726638,0.4050325071034224,0.6322353879610697,0.00028711035421746355
33,0.5318871221464613,0.42277760026247607,0.6311960518360138,0.0002591231629491422
34,0.5351113276961057,0.4221446488214576,0.590564047296842,0.00023208660251050145
35,0.5251379939525024,0.4125974165356677,0.6116907695929209,0.00020610737385376337
36,0.5288792684998201,0.40622972340687463,0.6326538225015005,0.00018128800512565502
37,0.5153583876140739,0.40020904268907465,0.6293492217858633,0.00015772644703565555
38,0.516527594593556,0.41695896957231604,0.6165966192881266,0.00013551568628929425
39,0.5107484868039256,0.4010132603023363,0.6276229719320933,0.00011474337861210535
40,0.5084501879046792,0.40212544021399127,0.6237800419330597,9.549150281252626e-05
41,0.5055685895292655,0.4038074087837468,0.6385355194409689,7.783603724899252e-05
42,0.501953129535136,0.3969006311634313,0.6284405291080475,6.184665997806817e-05
43,0.49228986547045084,0.4115070538676303,0.6193430622418722,4.7586473766990294e-05
44,0.4920891139494336,0.3952701869218246,0.6382697323958079,3.5111757055874305e-05
45,0.48946320540879085,0.39667433694652887,0.6343240837256113,2.4471741852423218e-05
46,0.48680770721124567,0.3929973847192267,0.6391411523024241,1.5708419435684507e-05
47,0.4833264069064804,0.3966712148293205,0.633603980143865,8.856374635655634e-06
48,0.4831950211006662,0.396431173319402,0.6338768104712168,3.942649342761115e-06
49,0.48391891125103703,0.3994696101416712,0.6340832312901815,9.866357858642198e-07
50,0.48710047307869664,0.39761817908805347,0.6289549271265665,0.0
