epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.064,1.96659,2.38048,1.03498,0.28867,0.17441,0.11526,0.06146,1.72791,1.55964,0.971,0.000237853,0.000237853,0.000237853
2,219.529,1.8422,1.67028,0.99192,0.21885,0.21598,0.14925,0.08111,1.68383,1.45596,0.95956,0.00046015,0.00046015,0.00046015
3,322.891,1.80943,1.56318,0.9806,0.27126,0.22447,0.16689,0.09103,1.68375,1.39985,0.95658,0.000666739,0.000666739,0.000666739
4,425.577,1.77762,1.47621,0.96777,0.28574,0.23568,0.1833,0.10045,1.63477,1.32037,0.94857,0.000643314,0.000643314,0.000643314
5,527.563,1.7521,1.43659,0.96501,0.28969,0.24077,0.18914,0.10437,1.63565,1.31258,0.93824,0.000619752,0.000619752,0.000619752
6,628.729,1.7387,1.39915,0.96034,0.31368,0.25065,0.19871,0.10921,1.61539,1.27975,0.93793,0.00059619,0.00059619,0.00059619
7,731.512,1.71103,1.36245,0.95428,0.32921,0.26021,0.2104,0.1158,1.58577,1.24986,0.9343,0.000572628,0.000572628,0.000572628
8,834.449,1.69822,1.33612,0.94761,0.4344,0.256,0.21792,0.12053,1.60191,1.231,0.931,0.000549066,0.000549066,0.000549066
9,936.813,1.68133,1.31256,0.94759,0.34842,0.26719,0.2262,0.12525,1.57535,1.21831,0.92597,0.000525504,0.000525504,0.000525504
10,1039.29,1.67128,1.29392,0.94255,0.34727,0.26798,0.22495,0.12497,1.57847,1.21598,0.92767,0.000501942,0.000501942,0.000501942
