epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.597208305027174,0.049456521739130434,3.4457720196765402,0.1295289855936299,0.0003
2,2.4458778713060463,0.5543478260869565,1.477333460683408,0.7710274328356204,0.0003
3,0.8355753185956375,0.803804347826087,1.0329490833308386,0.6947981367940488,0.0002886199901104373
4,0.43532808682192925,0.8744565217391305,0.7983585371595362,0.7552795031796331,0.0002562124637873888
5,0.2518141274218974,0.9296195652173913,0.563623412763295,0.8183359213497328,0.00020771117313858086
6,0.14811156039004741,0.9581521739130435,0.6511571412825066,0.7961568324462227,0.00015049999999999994
7,0.08048410687757575,0.9820652173913044,0.5744695466173732,0.8260351968848187,9.328882686141905e-05
8,0.04635447315547777,0.9932065217391305,0.47424917412192924,0.8639751553535462,4.4787536212611134e-05
9,0.031232557802096658,0.9945652173913043,0.4870238716187684,0.8589415114858876,1.238000988956263e-05
10,0.019750542776740116,0.998641304347826,0.49179760690616525,0.8632893375728441,1e-06
