epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.4493936289911686,0.08233695652173913,3.644276693592901,0.06983695652173913,0.001
2,3.512603063168733,0.07581521739130435,3.5705197085504947,0.07479296067486639,0.0009797667403204414
3,3.262144304358441,0.10217391304347827,3.469059488047724,0.1125,0.000920706139649175
4,3.096541263746179,0.1421195652173913,3.435206695224928,0.11413043478260869,0.00082760293660567
5,2.9662806884102197,0.16630434782608697,2.955416961338209,0.1702510352044002,0.0007079997989944424
6,2.7863512122112772,0.21603260869565216,2.9073812070100202,0.17418478260869566,0.000571586261717506
7,2.639106319261634,0.24103260869565218,3.000524730267732,0.17963250519140908,0.00042941373828249424
8,2.472480815389882,0.2807065217391304,2.809079472914986,0.2203804347826087,0.0002930002010055579
9,2.3112871916397757,0.33070652173913045,3.241617192133613,0.174741200843583,0.0001733970633943302
10,2.1084074828935706,0.38206521739130433,2.33422922777093,0.3286102486693341,8.029386035082506e-05
11,1.9705732024234275,0.42445652173913045,2.1891608683959296,0.35439958598302757,2.1233259679558572e-05
12,1.8700099789577982,0.45353260869565215,2.1515936727109164,0.3667443064243897,1e-06
