epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.6906194272248642,0.04728260869565217,3.4037233601445736,0.10899327125238335,0.0003
2,1.9672455414481784,0.5614130434782608,0.926593728169151,0.8124741201815397,0.0003
3,0.7080451830573704,0.8135869565217392,0.8180221301058065,0.7584109731342481,0.0002977287590753251
4,0.3644600933012755,0.9010869565217391,0.6577051721837209,0.7951086956521739,0.0002909840468074933
5,0.24735570919254551,0.9339673913043478,0.7970865147917167,0.7656185300453849,0.0002799707978657736
6,0.1870727003592512,0.9527173913043478,1.0433494814712068,0.7162267081115556,0.0002650236442462872
7,0.1324474876989489,0.967391304347826,0.7723119245275207,0.7864130434782609,0.0002465967476481376
8,0.10820937250619349,0.972554347826087,0.6163975843916769,0.817766563270403,0.00022524999999999995
9,0.07519478017221326,0.9823369565217391,0.622912229889113,0.8189958593119746,0.00020163201142718744
10,0.048053841066101326,0.9883152173913043,0.6566880579227986,0.8230719462684963,0.00017646040256120605
11,0.030746046486108198,0.9926630434782608,0.5245729203133479,0.8457815735236458,0.00015049999999999994
12,0.02222397780936697,0.9953804347826087,0.5565202047643454,0.853118530045385,0.00012453959743879387
13,0.019909535607566003,0.9956521739130435,0.5491006952588973,0.8477872672288315,9.936798857281253e-05
14,0.01326042854267618,0.997554347826087,0.5452466258212276,0.8519021739130435,7.575000000000001e-05
15,0.009641130203786104,0.9989130434782608,0.4869253299806429,0.8630305383516395,5.440325235186235e-05
16,0.008015594210313714,0.9994565217391305,0.4899077084401379,0.8621894411418749,3.597635575371279e-05
17,0.007872017829314522,0.9994565217391305,0.4918624137730702,0.8630175984424093,2.1029202134226442e-05
18,0.005783301203147225,1.0,0.487832759126373,0.8657479296559872,1.0015953192506704e-05
19,0.005209787578686424,0.9997282608695652,0.4975172905494338,0.8665502071380615,3.2712409246749005e-06
20,0.00619705322643985,0.9994565217391305,0.492567899402069,0.8687370600907699,1e-06
