epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.5915468962296195,0.05625,3.5160705690798553,0.11767598345227863,0.0003
2,2.7391114608101224,0.5108695652173914,1.6549478831498519,0.7573110767032789,0.0003
3,0.9347744747348453,0.7584239130434782,0.9617138018426687,0.7054347826086956,0.0002886199901104373
4,0.44454214469246245,0.873641304347826,0.799595279181781,0.7603260869565217,0.0002562124637873888
5,0.2662595649128375,0.9222826086956522,0.7748641077914964,0.7662137682023256,0.00020771117313858086
6,0.15553512307612793,0.9592391304347826,0.5329574991503487,0.8330098343932111,0.00015049999999999994
7,0.08786849460524061,0.9779891304347826,0.5422559356883816,0.8367883024008378,9.328882686141905e-05
8,0.05479249963941781,0.9869565217391304,0.475186103809139,0.8594720498375271,4.4787536212611134e-05
9,0.037437375602514845,0.9932065217391305,0.4535568351978841,0.8714673913043478,1.238000988956263e-05
10,0.02529127915268359,0.9972826086956522,0.44379813778011695,0.875,1e-06
