epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.5873105256453806,0.06440217391304348,3.22310398246931,0.16385869565217392,0.0003
2,1.674565547445546,0.621195652173913,0.7281958748465,0.8491304348344388,0.0003
3,0.8392945515072864,0.7684782608695652,0.953668305536975,0.7085869566253994,0.0002886199901104373
4,0.5498300496002902,0.835054347826087,0.7580381242801314,0.7741847826086956,0.0002562124637873888
5,0.3698769459581893,0.8839673913043479,0.6667806156951448,0.7911956522775733,0.00020771117313858086
6,0.26119327917695045,0.9190217391304348,0.7474359228235224,0.7789130435041759,0.00015049999999999994
7,0.14420040781083315,0.9595108695652174,0.6639302568267221,0.8172826087993125,9.328882686141905e-05
8,0.06957647078063177,0.9875,0.5604869696757068,0.8389673913302629,4.4787536212611134e-05
9,0.05077978839044985,0.9885869565217391,0.5293368524831275,0.856467391356178,1.238000988956263e-05
10,0.030049891057221785,0.9959239130434783,0.513091036968905,0.8605434783126997,1e-06
