epoch,train_loss,val_loss,val_mIoU,lr
1,0.689457768007465,0.7634098860232726,0.3254050364096959,0.0009990133642141358
2,0.5381788863274066,0.6157423529935919,0.4580804854631424,0.000996057350657239
3,0.4740312835606544,0.47009691919969476,0.5377805630366007,0.0009911436253643444
4,0.42352113241086836,0.5285626403663469,0.5251068671544393,0.0009842915805643156
5,0.38861258109302627,0.45629449026740115,0.5638488531112671,0.0009755282581475769
6,0.3640086040224718,0.3591508450715438,0.6381628215312958,0.0009648882429441258
7,0.33962032741502574,0.34663284650963283,0.6479894618193308,0.0009524135262330099
8,0.32548263106171205,0.44173912703990936,0.5953952570756277,0.0009381533400219318
9,0.3102179998127015,0.3272377485814302,0.6696277360121409,0.0009221639627510075
10,0.30015427801434114,0.3107639795736126,0.676549086968104,0.0009045084971874736
11,0.28882184252142906,0.3345124316604241,0.6567163070042928,0.0008852566213878945
12,0.28139613993951806,0.2941377297367739,0.6977033118406931,0.0008644843137107056
13,0.27078650608334853,0.2853973747595497,0.6982650260130564,0.0008422735529643443
14,0.26103194321141293,0.4766433810734231,0.5976354976495107,0.0008187119948743448
15,0.2544420596374118,0.29940404532396275,0.6886840363343557,0.0007938926261462366
16,0.24884272099513075,0.2806540904161723,0.7015491326649984,0.0007679133974894982
17,0.23930870810442645,0.25744675715332443,0.720176895459493,0.0007408768370508576
18,0.22873276937752962,0.28254492273149284,0.7060921788215637,0.0007128896457825362
19,0.22393033426740896,0.26346889899476716,0.7132057050863901,0.0006840622763423389
20,0.2181279428060288,0.2529405332777811,0.7226166923840841,0.0006545084971874735
21,0.2112689598099045,0.2431120001103567,0.7336056431134542,0.0006243449435824271
22,0.20634371155629988,0.2396689290585725,0.7373614807923635,0.0005936906572928622
23,0.20033313293495905,0.24896416715953662,0.7301671902338663,0.000562666616782152
24,0.19457179587334394,0.26912033638876415,0.7142638464768728,0.0005313952597646566
25,0.1894116740187873,0.2334789847550185,0.7426663438479105,0.0004999999999999998
26,0.18076382113782608,0.25266073465995165,0.7297471165657043,0.00046860474023534314
27,0.1764141948407759,0.22837061159636662,0.7496408224105835,0.00043733338321784774
28,0.17211753866918708,0.23199989128371942,0.7463146249453226,0.00040630934270713756
29,0.1679317114226844,0.22738185573531233,0.7472266753514608,0.00037565505641757246
30,0.1642242228085904,0.22383307050103726,0.7518035968144735,0.00034549150281252633
31,0.15839032589903343,0.23561866079335628,0.7480274041493734,0.00031593772365766105
32,0.1538840639607414,0.22530958866295608,0.7544148166974386,0.00028711035421746355
33,0.1497577146384055,0.23747961401291515,0.7476226886113485,0.0002591231629491422
34,0.14697056603820427,0.228268519691799,0.7550921241442362,0.00023208660251050145
35,0.1431264649550228,0.22402962038050528,0.7602368791898092,0.00020610737385376337
36,0.1406551740820641,0.23097347775879112,0.757502555847168,0.00018128800512565502
37,0.13664132030680776,0.23156692654542302,0.7567712863286337,0.00015772644703565555
38,0.13511342130115497,0.23206855874994528,0.7590591311454773,0.00013551568628929425
39,0.13219718483236173,0.23125757017861243,0.7614861726760864,0.00011474337861210535
40,0.13041759721691842,0.23040243448770564,0.761468509833018,9.549150281252626e-05
41,0.12831573139714159,0.23151362735940062,0.7597389618555704,7.783603724899252e-05
42,0.12707629445535334,0.23277137298946796,0.7603470881779989,6.184665997806817e-05
43,0.12520468660184872,0.23398290866095087,0.7598866621653239,4.7586473766990294e-05
44,0.12383916038695884,0.23451546255661093,0.7617915471394857,3.5111757055874305e-05
45,0.12318830418845882,0.23332298109712807,0.7616530656814575,2.4471741852423218e-05
46,0.12237248675006887,0.23377656045815218,0.7615183790524801,1.5708419435684507e-05
47,0.12216774388418897,0.2355991927501948,0.7597951292991638,8.856374635655634e-06
48,0.12173550665054632,0.2351106793984123,0.7607293526331583,3.942649342761115e-06
49,0.12112163110514698,0.23795293206753937,0.7609163125356039,9.866357858642198e-07
50,0.12092712144974781,0.2349482173828975,0.7607046763102213,0.0
