epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.444587243121603,0.08179347826086956,3.3745388487110968,0.09918478260869565,0.001
2,3.4710209058678667,0.08342391304347826,3.3021031255307407,0.09510869565217392,0.0009797667403204414
3,3.2286552097486414,0.11983695652173913,3.3189458618993344,0.10670289863710818,0.000920706139649175
4,3.0358506244161854,0.15679347826086956,2.98406954848248,0.16657608695652174,0.00082760293660567
5,2.8671516584313435,0.19456521739130433,2.8905157918515414,0.18669772258271342,0.0007079997989944424
6,2.744635780997898,0.23206521739130434,2.9317192015440567,0.1916278468525928,0.000571586261717506
7,2.543541360938031,0.2720108695652174,2.7499184214550514,0.2369953417259714,0.00042941373828249424
8,2.3469990315644638,0.31222826086956523,2.7056946422742763,0.24309006216733353,0.0002930002010055579
9,2.193056653893512,0.3529891304347826,2.415155363082886,0.3093944099934205,0.0001733970633943302
10,1.9958704533784286,0.4152173913043478,2.362538014287534,0.3210921325113462,8.029386035082506e-05
11,1.8560809114704961,0.4519021739130435,2.2138959604760875,0.3637551759896071,2.1233259679558572e-05
12,1.738268150453982,0.4907608695652174,2.1018654128779537,0.3830486542504767,1e-06
