epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.593762737771739,0.051630434782608696,3.5233257666878077,0.10789337475662646,0.0003
2,2.7686457094938857,0.48777173913043476,1.6971499349759973,0.7579968944839809,0.0003
3,0.916488906611567,0.772554347826087,0.8213727266892142,0.7403079711872599,0.0002886199901104373
4,0.42761285551216294,0.8782608695652174,0.7870066821575165,0.7496376812458039,0.0002562124637873888
5,0.2992561836605487,0.9105978260869565,0.719191542721313,0.7785196687864221,0.00020771117313858086
6,0.16611354150201962,0.9529891304347826,0.7565173741268075,0.7909808490587318,0.00015049999999999994
7,0.08613740766178006,0.9790760869565217,0.4848558332933032,0.8518633541853532,9.328882686141905e-05
8,0.04845696470659712,0.9910326086956521,0.4907330646139124,0.8566252589225769,4.4787536212611134e-05
9,0.030530452209970225,0.9967391304347826,0.4672330445893433,0.8635610767032789,1.238000988956263e-05
10,0.024258694635785144,0.9980978260869565,0.4648639649152756,0.8654632506163223,1e-06
