epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.294664465862772,0.14076086956521738,2.6244780934375265,0.451074016612509,0.001
2,1.0170013800911282,0.7402173913043478,0.7203102666398753,0.7903209110964899,0.001
3,1.1667886490407198,0.6421195652173913,1.670472596909689,0.5185559008432471,0.0009619778264893878
4,0.8720076361428136,0.7233695652173913,1.863254406011623,0.507673395457475,0.0008536998372026805
5,0.6632554502590843,0.7918478260869565,1.4262549123038417,0.606728778714719,0.0006916503744663625
6,0.45579254186671714,0.8519021739130435,1.4222945728379748,0.629140786761823,0.0005005000000000001
7,0.2609262658850006,0.9214673913043478,0.693885310795968,0.7945652173913044,0.00030934962553363774
8,0.11493085402509441,0.9682065217391305,0.7522951533612998,0.7927795031796331,0.00014730016279731955
9,0.07398177356175754,0.9815217391304348,0.6241186592889869,0.8192675984424094,3.902217351061228e-05
10,0.0503710681653541,0.9888586956521739,0.5973682874246784,0.826074016612509,1e-06
