epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.6906194272248642,0.04728260869565217,3.4037233601445736,0.10899327125238335,0.0003
2,1.9672455414481784,0.5614130434782608,0.926593728169151,0.8124741201815397,0.0003
3,0.7080451830573704,0.8135869565217392,0.8180221301058065,0.7584109731342481,0.0002886199901104373
4,0.35800396683423413,0.9029891304347826,0.6415488258652066,0.8052924430888632,0.0002562124637873888
5,0.2245598276672156,0.9394021739130435,0.6201512187719345,0.8135869565217392,0.00020771117313858086
6,0.13593960533971372,0.9682065217391305,0.7287419397545898,0.7901785715766575,0.00015049999999999994
7,0.07283487067274426,0.9869565217391304,0.510708638118661,0.8571946170019067,9.328882686141905e-05
8,0.03811806887388229,0.9951086956521739,0.47172359804744307,0.8623317806617073,4.4787536212611134e-05
9,0.02910307704106621,0.996195652173913,0.45090132349211237,0.8684653209603351,1.238000988956263e-05
10,0.022412097745615502,0.9972826086956522,0.44312014744981476,0.8665631470472916,1e-06
