epoch,train_loss,val_loss,val_mIoU,lr
1,0.3924921985877597,0.4266201769528182,0.4243567536274592,0.0009990133642141358
2,0.3104146297859109,0.3038302692382232,0.5604504148165385,0.000996057350657239
3,0.2701834187559459,0.2647213372199432,0.6056812306245168,0.0009911436253643444
4,0.25011925059168233,0.2525553489508836,0.6211172839005789,0.0009842915805643156
5,0.2361278384923935,0.2372751579336498,0.6414495607217153,0.0009755282581475769
6,0.22588287990378297,0.23559090365534244,0.6418052911758423,0.0009648882429441258
7,0.21807742297001506,0.22638733101927716,0.656220962603887,0.0009524135262330099
8,0.20868174618353014,0.2275998022245324,0.6551710069179535,0.0009381533400219318
9,0.20353819413677507,0.206613232260165,0.6798713902632395,0.0009221639627510075
10,0.1987719205410584,0.20553304578946985,0.6827344795068105,0.0009045084971874736
11,0.1918672253580197,0.2089163803535959,0.6764914095401764,0.0008852566213878945
12,0.18753049312078435,0.2067795577256576,0.6796543498833975,0.0008644843137107056
13,0.18482048534180806,0.19250460163406705,0.6991872191429138,0.0008422735529643443
14,0.17916756009925966,0.20483295749063077,0.6811609268188477,0.0008187119948743448
15,0.17751071456333864,0.19496845745522043,0.6950843830903372,0.0007938926261462366
16,0.1721895252880843,0.19248836649500806,0.6992395222187042,0.0007679133974894982
17,0.16954266652464867,0.18758189289466196,0.7053625881671906,0.0007408768370508576
18,0.16278351810963257,0.18145017261090485,0.7136937777201334,0.0007128896457825362
19,0.16049659025409949,0.18616559129694235,0.7073149482409159,0.0006840622763423389
20,0.1571607934715955,0.1747844283995421,0.7232737640539805,0.0006545084971874735
21,0.15327313574759857,0.1686589134776074,0.7319008906682333,0.0006243449435824271
22,0.15029878671402516,0.17363316857296487,0.7257572710514069,0.0005936906572928622
23,0.14687304085363512,0.1720684254946916,0.727282444636027,0.000562666616782152
24,0.1460665464401245,0.16995552052622256,0.7296849886576334,0.0005313952597646566
25,0.14196086869291638,0.16156475764253866,0.7419468959172567,0.0004999999999999998
26,0.13810112699866295,0.1623640494502109,0.7402521173159281,0.00046860474023534314
27,0.13633636757731438,0.16092774142389712,0.7425994674364725,0.00043733338321784774
28,0.13484559937015825,0.15854164698849554,0.7462168335914612,0.00040630934270713756
29,0.13217225152513254,0.1547273287306661,0.7517796556154887,0.00037565505641757246
30,0.12962737598496935,0.1537107229232788,0.7534834543863932,0.00034549150281252633
31,0.1268342391628286,0.155715920355009,0.7497729063034058,0.00031593772365766105
32,0.12484468973201254,0.15270548475825269,0.7543936371803284,0.00028711035421746355
33,0.12237278809366019,0.15570297318956125,0.7497379382451376,0.0002591231629491422
34,0.12043289143754088,0.14967141786347266,0.7588569323221842,0.00023208660251050145
35,0.11751683736624925,0.15262721738089685,0.7546652555465698,0.00020610737385376337
36,0.11624595101760782,0.14855408215004465,0.7601395646731058,0.00018128800512565502
37,0.11408928263446559,0.1481253407571627,0.7612531383832296,0.00015772644703565555
38,0.11251038005170615,0.1476600519988848,0.7617997725804647,0.00013551568628929425
39,0.11182755993112274,0.1462787856226382,0.7638752857844034,0.00011474337861210535
40,0.1097071802486544,0.14617821379848148,0.7640482783317566,9.549150281252626e-05
41,0.10913061334387116,0.14651753850605176,0.7632930080095927,7.783603724899252e-05
42,0.10833166555865952,0.14649411388065503,0.7636039654413859,6.184665997806817e-05
43,0.1072519057146881,0.1457403723312461,0.7645529508590698,4.7586473766990294e-05
44,0.10634690490753754,0.14637151814025381,0.7636376221974691,3.5111757055874305e-05
45,0.10569619630341945,0.14563451513000156,0.7648528615633646,2.4471741852423218e-05
46,0.1056131296183752,0.14539553289828094,0.7650924324989319,1.5708419435684507e-05
47,0.10501488751691321,0.1463290932385818,0.7638364434242249,8.856374635655634e-06
48,0.10475827332424081,0.14535490455834763,0.76537024974823,3.942649342761115e-06
49,0.10490744042655696,0.145593352291895,0.764958659807841,9.866357858642198e-07
50,0.10461965770177219,0.14571334551209988,0.7648054957389832,0.0
