epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.6895234481148096,0.050543478260869565,3.4041639742643937,0.10899327125238335,0.0003
2,1.9717144178307575,0.5682065217391304,0.9317803478759268,0.8355848861777264,0.0003
3,0.6913839249507241,0.825,0.7493117758761282,0.7694228778714719,0.0002886199901104373
4,0.380145693084468,0.8970108695652174,0.7487716270853644,0.7764880952627763,0.0002562124637873888
5,0.23822156275096146,0.935054347826087,0.6132123440828012,0.807660455548245,0.00020771117313858086
6,0.1329549930665804,0.966304347826087,0.5778148706840432,0.8233566253081612,0.00015049999999999994
7,0.06887569751428521,0.9883152173913043,0.5164906307407048,0.8533773292665896,9.328882686141905e-05
8,0.03938904258867969,0.9942934782608696,0.486627252108377,0.8564958593119746,4.4787536212611134e-05
9,0.033578205400187036,0.9951086956521739,0.44992194444588995,0.8703674948733786,1.238000988956263e-05
10,0.02149312680830126,0.998641304347826,0.4457433978824512,0.874314182219298,1e-06
