epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.5949091372282607,0.051086956521739134,3.446608997427899,0.127613871641781,0.0003
2,2.451777350384256,0.5426630434782609,1.494978225749472,0.7785196687864221,0.0003
3,0.8451784234979879,0.7967391304347826,0.9725118752406992,0.7013198759244836,0.0002886199901104373
4,0.4150772721871086,0.8831521739130435,0.8725639447569847,0.7403209110964899,0.0002562124637873888
5,0.2527437109662139,0.9279891304347826,0.7180744623036488,0.785455486567124,0.00020771117313858086
6,0.14038791364949682,0.9625,0.5880224121329577,0.8244435818299003,0.00015049999999999994
7,0.06713987320013669,0.9858695652173913,0.6117335259266522,0.8248447205709375,9.328882686141905e-05
8,0.039894491563672606,0.9932065217391305,0.5297923402293868,0.8556935818299003,4.4787536212611134e-05
9,0.027402975021497064,0.9964673913043478,0.5271552540037943,0.8478131470472916,1.238000988956263e-05
10,0.023649135815060656,0.9970108695652173,0.482334314254315,0.8676501035690307,1e-06
